"UniProt_ID","Summary"
"Q99MN1","Enables scaffold protein binding activity. Predicted to be involved in several processes, including ERK1 and ERK2 cascade; diadenosine tetraphosphate biosynthetic process; and lysyl-tRNA aminoacylation. Located in mitochondrion. Part of aminoacyl-tRNA synthetase multienzyme complex. Is expressed in several structures, including alimentary system; central nervous system; cranium; genitourinary system; and sensory organ. Human ortholog(s) of this gene implicated in Charcot-Marie-Tooth disease recessive intermediate B and autosomal recessive nonsyndromic deafness 89. Orthologous to human KARS1 (lysyl-tRNA synthetase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5DC69","Hsp10, Eukaryotic CPN10 homolog which is essential for mitochondrial protein biogenesis, together with CPN60. Binds to CPN60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity). {ECO:0000250}."
"Q64319","Predicted to enable protein heterodimerization activity. Involved in amino acid transport. Located in vacuolar membrane. Human ortholog(s) of this gene implicated in cystinuria. Orthologous to human SLC3A1 (solute carrier family 3 member 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q2KJG3","Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. Asparaginyl-tRNA synthetase is localized to the cytoplasm and belongs to the class II family of tRNA synthetases. The N-terminal domain represents the signature sequence for the eukaryotic asparaginyl-tRNA synthetases. [provided by RefSeq, Jul 2008]"
"Q1JPX3","Predicted to enable magnesium ion binding activity and phenylalanine-tRNA ligase activity. Predicted to be involved in phenylalanyl-tRNA aminoacylation and protein heterotetramerization. Predicted to act upstream of or within tRNA aminoacylation and translation. Predicted to be part of phenylalanine-tRNA ligase complex. Predicted to be active in cytoplasm. Is expressed in several structures, including brain; digestive system; optic cup; pectoral fin bud; and swim bladder. Orthologous to human FARSA (phenylalanyl-tRNA synthetase subunit alpha). [provided by Alliance of Genome Resources, Mar 2025]"
"A0A2C9JXL4","(freshwater snail), glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like, involved_in core 1 O-glycan biosynthetic process"
"F1QGW6","Predicted to enable methionyl-initiator methionine tRNA binding activity and translation initiation factor activity. Predicted to contribute to tRNA binding activity. Predicted to be involved in formation of translation preinitiation complex. Predicted to act upstream of or within translational initiation. Predicted to be located in cytosol. Predicted to be part of eukaryotic translation initiation factor 2 complex. Human ortholog(s) of this gene implicated in MEHMO syndrome. Orthologous to several human genes including EIF2S3 (eukaryotic translation initiation factor 2 subunit gamma). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5XIH7","Predicted to enable amide binding activity; protein dimerization activity; and sphingolipid binding activity. Involved in cellular response to hypoxia; cellular response to retinoic acid; and negative regulation of apoptotic process. Located in axon and mitochondrion. Is active in several cellular components, including GABA-ergic synapse; glutamatergic synapse; and postsynaptic density. Orthologous to human PHB2 (prohibitin 2). [provided by Alliance of Genome Resources, Mar 2025]"
"P41250","The protein encoded by this gene is a cell-surface glycoprotein involved in cell-cell interactions, cell adhesion and migration. It is a receptor for hyaluronic acid (HA) and can also interact with other ligands, such as osteopontin, collagens, and matrix metalloproteinases (MMPs). This protein participates in a wide variety of cellular functions including lymphocyte activation, recirculation and homing, hematopoiesis, and tumor metastasis. Transcripts for this gene undergo complex alternative splicing that results in many functionally distinct isoforms, however, the full length nature of some of these variants has not been determined. Alternative splicing is the basis for the structural and functional diversity of this protein, and may be related to tumor metastasis. [provided by RefSeq, Jul 2008]"
"Q5ZM98","heat shock protein family A (Hsp70) member 9, This gene encodes a member of the heat shock protein 70 gene family. The encoded protein is primarily localized to the mitochondria but is also found in the endoplasmic reticulum, plasma membrane and cytoplasmic vesicles. This protein is a heat-shock cognate protein. This protein plays a role in cell proliferation, stress response and maintenance of the mitochondria. A pseudogene of this gene is found on chromosome 2.[provided by RefSeq, May 2010]"
"Q9D0R2","Enables threonine-tRNA ligase activity. Involved in threonyl-tRNA aminoacylation. Located in cytoplasm. Is expressed in several structures, including alimentary system; brain; integumental system; liver; and sensory organ. Human ortholog(s) of this gene implicated in nonphotosensitive trichothiodystrophy 7. Orthologous to human TARS1 (threonyl-tRNA synthetase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"O00567","This gene encodes a member of the bone morphogenetic protein (BMP) receptor family of transmembrane serine/threonine kinases. The ligands of this receptor are members of the TGF-beta superfamily. BMPs are involved in endochondral bone formation and embryogenesis. These proteins transduce their signals through the formation of heteromeric complexes of two different types of serine (threonine) kinase receptors: type I receptors of about 50-55 kD and type II receptors of about 70-80 kD. Mutations in this gene have been associated with primary pulmonary hypertension, both familial and fenfluramine-associated, and with pulmonary venoocclusive disease. [provided by RefSeq, May 2020]"
"Q0V8S0","(Human ortholog description) The protein encoded by this gene regulates endosomal sorting and plays a critical role in the recycling and degradation of membrane receptors. The encoded protein sorts monoubiquitinated membrane proteins into the multivesicular body, targeting these proteins for lysosome-dependent degradation. [provided by RefSeq, Dec 2010]"
"O42254","This gene encodes a member of the insulin-like growth factor 2 mRNA-binding protein family. The protein encoded by this gene contains four K homology domains and two RNA recognition motifs. It functions by binding to the mRNAs of certain genes, including insulin-like growth factor 2, beta-actin and beta-transducin repeat-containing protein, and regulating their translation. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]"
"Q6AXX4","Predicted to be involved in brain development and maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA). Predicted to be located in nucleus. Predicted to be part of small-subunit processome. Predicted to be active in nucleolus. Orthologous to human UTP3 (UTP3 small subunit processome component). [provided by Alliance of Genome Resources, Mar 2025]"
"Q21086","Predicted to enable GTP binding activity. Involved in germ cell development; nematode larval development; and regulation of growth. Located in nucleolus and nucleoplasm. Is expressed widely. Used to study obesity. Orthologous to several human genes including GNL3L (G protein nucleolar 3 like). [provided by Alliance of Genome Resources, Mar 2025]"
"O43432","The protein encoded by this gene is a component of the eukaryotic translation initiation factor 4F complex, which recognizes the 7-methylguanosine cap structure at the 5' end of messenger RNAs. The encoded protein aids in translation initiation by recruiting ribosomes to the 5'-cap structure. Association of this protein with the 4F complex is the rate-limiting step in translation initiation. This gene acts as a proto-oncogene, and its expression and activation is associated with transformation and tumorigenesis. Several pseudogenes of this gene are found on other chromosomes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]"
"Q7SXU0","Predicted to enable translation initiation factor activity. Predicted to be involved in formation of cytoplasmic translation initiation complex. Predicted to act upstream of or within translational initiation. Predicted to be located in cytoplasm. Predicted to be part of eukaryotic translation initiation factor 3 complex. Is expressed in several structures, including alar plate midbrain region; digestive system; immature eye; midbrain; and segmental plate. Orthologous to human EIF3J (eukaryotic translation initiation factor 3 subunit J). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9EPL8","Enables histone binding activity. Involved in negative regulation of osteoblast differentiation; positive regulation of odontoblast differentiation; and positive regulation of protein localization to nucleus. Acts upstream of or within innate immune response and protein import into nucleus. Located in cytoplasm and nucleus. Orthologous to human IPO7 (importin 7). [provided by Alliance of Genome Resources, Mar 2025]"
"Q99LE6","Predicted to enable ATP binding activity. Located in mitochondrion. Is expressed in several structures, including alimentary system; genitourinary system; nervous system; respiratory system; and sensory organ. Orthologous to several human genes including ABCF2 (ATP binding cassette subfamily F member 2). [provided by Alliance of Genome Resources, Mar 2025]"
"Q6NWJ4","Predicted to enable several functions, including Hsp70 protein binding activity; ribosome binding activity; and ubiquitin-modified histone reader activity. Predicted to be involved in 'de novo' cotranslational protein folding and positive regulation of DNA-templated transcription. Predicted to act upstream of or within chromatin organization and regulation of translational fidelity. Predicted to be located in nucleus. Predicted to be active in cytosol. Is expressed in several structures, including immature eye; nervous system; neural plate; pectoral fin; and segmental plate. Orthologous to human DNAJC2 (DnaJ heat shock protein family (Hsp40) member C2). [provided by Alliance of Genome Resources, Mar 2025]"
"O00566","This gene encodes the human homolog of the yeast Imp3 protein. The protein localizes to the nucleoli and interacts with the U3 snoRNP complex. The protein contains an S4 domain. [provided by RefSeq, Jul 2008]"
"O60841","This gene is a proto-oncogene that encodes a RING finger E3 ubiquitin ligase. The encoded protein is one of the enzymes required for targeting substrates for degradation by the proteasome. This protein mediates the transfer of ubiquitin from ubiquitin conjugating enzymes (E2) to specific substrates. This protein also contains an N-terminal phosphotyrosine binding domain that allows it to interact with numerous tyrosine-phosphorylated substrates and target them for proteasome degradation. As such it functions as a negative regulator of many signal transduction pathways. This gene has been found to be mutated or translocated in many cancers including acute myeloid leukaemia, and expansion of CGG repeats in the 5' UTR has been associated with Jacobsen syndrome. Mutations in this gene are also the cause of Noonan syndrome-like disorder. [provided by RefSeq, Jul 2016]"
"Q5REX3","(human ortholog description) This gene encodes an RNA-binding protein characterized by its DZF (domain associated with zinc fingers) domain. The encoded protein may play a role in the nucleocytoplasmic shuttling of another RNA-binding protein, Staufen homolog 2, in neurons. Expression of this gene is regulated through alternative polyadenylation that mediates differential microRNA targeting. Elevated expression of this gene has been observed in human patients with pancreatic cancer and knockdown of this gene may result in reduced viability and invasion of pancreatic cancer cells. [provided by RefSeq, Sep 2016]"
"Q13439","This gene encodes a member of the RAB family, which belongs to the small GTPase superfamily. GTPases of the RAB family bind to various effectors to regulate the targeting and fusion of transport carriers to acceptor compartments. This protein is located at the Golgi apparatus, which regulates trafficking in both a retrograde (from early endosomes and Golgi to the endoplasmic reticulum) and an anterograde (from the Golgi to the plasma membrane) directions. Myosin II is an effector of this protein in these processes. This protein is also involved in assembly of human cytomegalovirus (HCMV) by interacting with the cellular protein Bicaudal D1, which interacts with the HCMV virion tegument protein, pp150. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011]"
"Q9JIH7","Enables several functions, including ATP binding activity; magnesium ion binding activity; and molecular condensate scaffold activity. Involved in several processes, including cell volume homeostasis; cellular hyperosmotic response; and negative regulation of protein localization to plasma membrane. Located in cytosol and membrane. Is active in GABA-ergic synapse and intracellular membraneless organelle. Biomarker of transient cerebral ischemia. Human ortholog(s) of this gene implicated in hereditary sensory and autonomic neuropathy type 2A; hereditary sensory neuropathy; hypertension; and pseudohypoaldosteronism. Orthologous to human WNK1 (WNK lysine deficient protein kinase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"P23128","Enables RNA binding activity and mRNA regulatory element binding translation repressor activity. Involved in several processes, including P-body assembly; habituation; and regulation of gene expression. Located in several cellular components, including cytoplasmic ribonucleoprotein granule; neuronal cell body; and sensory dendrite. Colocalizes with endoplasmic reticulum exit site. Is expressed in several structures, including adult brain; adult brain cell body rind; adult head; germline cell; and intrinsic neurons. Orthologous to human DDX6 (DEAD-box helicase 6). [provided by Alliance of Genome Resources, Mar 2025]"
"P41044","Predicted to enable calcium ion binding activity. Predicted to be involved in regulation of long-term synaptic potentiation and regulation of presynaptic cytosolic calcium ion concentration. Located in type II terminal bouton and type III terminal bouton. Is expressed in several structures, including NMJ bouton; central nervous system; ganglia; organism subdivision; and presumptive embryonic/larval system. Orthologous to several human genes including CALB2 (calbindin 2). [provided by Alliance of Genome Resources, Mar 2025]"
"O94844","The protein encoded by this gene belongs to the Rho family of the small GTPase superfamily. It contains a GTPase domain, a proline-rich region, a tandem of 2 BTB (broad complex, tramtrack, and bric-a-brac) domains, and a conserved C-terminal region. The protein plays a role in small GTPase-mediated signal transduction and the organization of the actin filament system. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Dec 2008]"
"Q96MT7","Enables peptidase activity. Involved in sperm axoneme assembly. Acts upstream of or within microtubule cytoskeleton organization. Predicted to be located in cytoplasm; cytoskeleton; and motile cilium. Implicated in spermatogenic failure 20. [provided by Alliance of Genome Resources, Mar 2025]"
"Q8TE73","This gene encodes a dynein protein, which is part of a microtubule-associated motor protein complex consisting of heavy, light, and intermediate chains. This protein is an axonemal heavy chain dynein. It functions as a force-generating protein with ATPase activity, whereby the release of ADP is thought to produce the force-producing power stroke. Mutations in this gene cause primary ciliary dyskinesia type 3, as well as Kartagener syndrome, which are both diseases due to ciliary defects. [provided by RefSeq, Oct 2009]"
"A6QQM4","Zinc finger protein 474, metal ion binding"
"Q3UVU3","Predicted to enable calcium:manganese antiporter activity and zinc ion transmembrane transporter activity. Involved in manganese ion homeostasis. Predicted to be located in Golgi apparatus; endosome membrane; and plasma membrane. Predicted to be active in membrane. Is expressed in central nervous system and retina. Human ortholog(s) of this gene implicated in hypermanganesemia with dystonia 1. Orthologous to human SLC30A10 (solute carrier family 30 member 10). [provided by Alliance of Genome Resources, Mar 2025]"
"O02485","Predicted to be involved in signal transduction. Predicted to be active in cytoplasm. Human ortholog(s) of this gene implicated in Charcot-Marie-Tooth disease type 4D. Orthologous to human NDRG1 (N-myc downstream regulated 1); NDRG2 (NDRG family member 2); and NDRG4 (NDRG family member 4). [provided by Alliance of Genome Resources, Mar 2025]"
"Q28039","solute carrier family 6 member 9, (human ortholog description) The amino acid glycine acts as an inhibitory neurotransmitter in the central nervous system. The protein encoded by this gene is one of two transporters that stop glycine signaling by removing it from the synaptic cleft. [provided by RefSeq, Jun 2016]"
"Q2KJ64","Human ortholog description: Arginase catalyzes the hydrolysis of arginine to ornithine and urea. At least two isoforms of mammalian arginase exist (types I and II) which differ in their tissue distribution, subcellular localization, immunologic crossreactivity and physiologic function. The type I isoform encoded by this gene, is a cytosolic enzyme and expressed predominantly in the liver as a component of the urea cycle. Inherited deficiency of this enzyme results in argininemia, an autosomal recessive disorder characterized by hyperammonemia. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]"
