"gene"	"V11"	"V2.x"	"transcript"	"uniprot_accession"
"LOC134712269"	0	"sp|Q8NBS3|S4A11_HUMAN"	"lcl|NC_086373.1_cds_XP_063429757.1_97"	"Q8NBS3"
"LOC134712326"	3.5e-98	"sp|Q0JRZ9|FCHO2_HUMAN"	"lcl|NC_086373.1_cds_XP_063429840.1_110"	"Q0JRZ9"
"LOC134712349"	1.5e-50	"sp|Q62193|RFA2_MOUSE"	"lcl|NC_086373.1_cds_XP_063429878.1_115"	"Q62193"
"LOC134698905"	3.78e-146	"sp|Q6PF45|VIAAT_XENLA"	"lcl|NC_086373.1_cds_XP_063416656.1_116"	"Q6PF45"
"LOC134712356"	4.15e-103	"sp|Q02224|CENPE_HUMAN"	"lcl|NC_086373.1_cds_XP_063429890.1_118"	"Q02224"
"LOC134712363"	0	"sp|Q8N6S4|AN13C_HUMAN"	"lcl|NC_086373.1_cds_XP_063429922.1_120"	"Q8N6S4"
"LOC134698923"	8.2e-90	"sp|Q9BYK8|HELZ2_HUMAN"	"lcl|NC_086373.1_cds_XP_063416677.1_123"	"Q9BYK8"
"LOC134706235"	6.23e-83	"sp|E9QAM5|HELZ2_MOUSE"	"lcl|NC_086373.1_cds_XP_063421063.1_124"	"E9QAM5"
"LOC134706240"	3.49e-37	"sp|Q0V9X5|BHE22_XENTR"	"lcl|NC_086373.1_cds_XP_063421077.1_125"	"Q0V9X5"
"LOC134698932"	8.92e-155	"sp|E9QAM5|HELZ2_MOUSE"	"lcl|NC_086373.1_cds_XP_063416687.1_126"	"E9QAM5"
"LOC134712379"	2.79e-173	"sp|Q9BYK8|HELZ2_HUMAN"	"lcl|NC_086373.1_cds_XP_063429943.1_127"	"Q9BYK8"
"LOC134712400"	1.34e-105	"sp|Q9BYK8|HELZ2_HUMAN"	"lcl|NC_086373.1_cds_XP_063429991.1_131"	"Q9BYK8"
"LOC134712416"	5.66e-104	"sp|Q9BYK8|HELZ2_HUMAN"	"lcl|NC_086373.1_cds_XP_063430014.1_134"	"Q9BYK8"
"LOC134698962"	5.35e-54	"sp|E9QAM5|HELZ2_MOUSE"	"lcl|NC_086373.1_cds_XP_063416719.1_146"	"E9QAM5"
"LOC134712473"	8.01e-106	"sp|E9QAM5|HELZ2_MOUSE"	"lcl|NC_086373.1_cds_XP_063430121.1_147"	"E9QAM5"
"LOC134712479"	6.39e-146	"sp|Q9H799|CPLN1_HUMAN"	"lcl|NC_086373.1_cds_XP_063430143.1_149"	"Q9H799"
"LOC134712487"	5.75e-136	"sp|Q9D7H3|RTCA_MOUSE"	"lcl|NC_086373.1_cds_XP_063430156.1_154"	"Q9D7H3"
"LOC134699009"	2.78e-27	"sp|Q60847|COCA1_MOUSE"	"lcl|NC_086373.1_cds_XP_063416774.1_161"	"Q60847"
"LOC134712543"	1.35e-132	"sp|A3KGZ2|OGFD2_DANRE"	"lcl|NC_086373.1_cds_XP_063430265.1_164"	"A3KGZ2"
"LOC134712552"	0	"sp|Q96L93|KI16B_HUMAN"	"lcl|NC_086373.1_cds_XP_063430308.1_166"	"Q96L93"
"LOC134712548"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430294.1_167"	"C3YWU0"
"LOC134712560"	0	"sp|Q7TSU1|BIG2_RAT"	"lcl|NC_086373.1_cds_XP_063430353.1_168"	"Q7TSU1"
"LOC134712589"	0	"sp|Q6P635|CSN5_XENTR"	"lcl|NC_086373.1_cds_XP_063430374.1_173"	"Q6P635"
"LOC134712618"	8.49e-134	"sp|Q7ZW46|S35B4_DANRE"	"lcl|NC_086373.1_cds_XP_063430419.1_180"	"Q7ZW46"
"LOC134712630"	0	"sp|Q00537|CDK17_HUMAN"	"lcl|NC_086373.1_cds_XP_063430450.1_182"	"Q00537"
"LOC134712652"	4.25e-53	"sp|Q99055|LAC4_TRAVI"	"lcl|NC_086373.1_cds_XP_063430471.1_184"	"Q99055"
"LOC134712674"	8.09e-68	"sp|Q9H1D0|TRPV6_HUMAN"	"lcl|NC_086373.1_cds_XP_063430505.1_188"	"Q9H1D0"
"LOC134712682"	1.58e-28	"sp|Q8R3A2|CDPF1_MOUSE"	"lcl|NC_086373.1_cds_XP_063430529.1_190"	"Q8R3A2"
"LOC134712685"	2.97e-36	"sp|P50131|PE2R3_PIG"	"lcl|NC_086373.1_cds_XP_063430544.1_191"	"P50131"
"LOC134712692"	0	"sp|Q9DC53|CPNE8_MOUSE"	"lcl|NC_086373.1_cds_XP_063430556.1_193"	"Q9DC53"
"LOC134712692"	0	"sp|Q86YQ8|CPNE8_HUMAN"	"lcl|NC_086373.1_cds_XP_063430585.1_196"	"Q86YQ8"
"LOC134712707"	0	"sp|Q9Y2V7|COG6_HUMAN"	"lcl|NC_086373.1_cds_XP_063430598.1_197"	"Q9Y2V7"
"LOC134706305"	1.56e-61	"sp|P20483|MPIP_DROME"	"lcl|NC_086373.1_cds_XP_063421202.1_198"	"P20483"
"LOC134706312"	1.19e-59	"sp|P20483|MPIP_DROME"	"lcl|NC_086373.1_cds_XP_063421216.1_199"	"P20483"
"LOC134712714"	5.29e-173	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430610.1_200"	"C3YWU0"
"LOC134712721"	5.95e-42	"sp|Q99MW1|STK31_MOUSE"	"lcl|NC_086373.1_cds_XP_063430625.1_201"	"Q99MW1"
"LOC134712733"	0	"sp|E9Q4F2|KLH18_MOUSE"	"lcl|NC_086373.1_cds_XP_063430646.1_203"	"E9Q4F2"
"LOC134712757"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430679.1_204"	"C3YWU0"
"LOC134712743"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430656.1_205"	"C3YWU0"
"LOC134712748"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430669.1_206"	"C3YWU0"
"LOC134712767"	7.24e-170	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430692.1_207"	"C3YWU0"
"LOC134712775"	2.05e-174	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430702.1_208"	"C3YWU0"
"LOC134712782"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430714.1_209"	"C3YWU0"
"LOC134712795"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430741.1_210"	"C3YWU0"
"LOC134712788"	0	"sp|C3YWU0|FUCO_BRAFL"	"lcl|NC_086373.1_cds_XP_063430729.1_212"	"C3YWU0"
"LOC134712799"	2.88e-100	"sp|Q07646|MEST_MOUSE"	"lcl|NC_086373.1_cds_XP_063430757.1_213"	"Q07646"
"LOC134712808"	3.89e-61	"sp|P20483|MPIP_DROME"	"lcl|NC_086373.1_cds_XP_063430775.1_215"	"P20483"
"LOC134712811"	4.09e-159	"sp|P80109|PHLD_BOVIN"	"lcl|NC_086373.1_cds_XP_063430790.1_232"	"P80109"
"LOC134712820"	3.64e-108	"sp|P27657|LIPP_RAT"	"lcl|NC_086373.1_cds_XP_063430812.1_235"	"P27657"
"LOC134712825"	5.35e-111	"sp|B0VX73|RHDF1_CALJA"	"lcl|NC_086373.1_cds_XP_063430883.1_236"	"B0VX73"
"LOC134712825"	1.11e-110	"sp|A0JPA1|RHDF2_XENTR"	"lcl|NC_086373.1_cds_XP_063430865.1_237"	"A0JPA1"
"LOC134712825"	2.22e-111	"sp|Q6GMF8|RHDF1_DANRE"	"lcl|NC_086373.1_cds_XP_063430827.1_239"	"Q6GMF8"
"LOC134712854"	7.98e-164	"sp|Q8IW92|GLBL2_HUMAN"	"lcl|NC_086373.1_cds_XP_063430895.1_244"	"Q8IW92"
"LOC134712881"	8.23e-56	"sp|O60381|HBP1_HUMAN"	"lcl|NC_086373.1_cds_XP_063430940.1_249"	"O60381"
"LOC134712944"	5.32e-29	"sp|Q8ND61|CC020_HUMAN"	"lcl|NC_086373.1_cds_XP_063430972.1_255"	"Q8ND61"
"LOC134713071"	0	"sp|Q9GMB0|RPN1_PIG"	"lcl|NC_086373.1_cds_XP_063430983.1_265"	"Q9GMB0"
"LOC134713087"	7.19e-122	"sp|Q6DFJ6|TBK1_XENLA"	"lcl|NC_086373.1_cds_XP_063430984.1_266"	"Q6DFJ6"
"LOC134713113"	1.5e-42	"sp|P62597|POTE1_CHICK"	"lcl|NC_086373.1_cds_XP_063430987.1_268"	"P62597"
"LOC134713129"	0	"sp|P38062|MAP2_RAT"	"lcl|NC_086373.1_cds_XP_063430988.1_269"	"P38062"
"LOC134713145"	0	"sp|Q5RGV1|IMDH3_DANRE"	"lcl|NC_086373.1_cds_XP_063430991.1_270"	"Q5RGV1"
"LOC134713197"	3.74e-64	"sp|Q6P3R8|NEK5_HUMAN"	"lcl|NC_086373.1_cds_XP_063430993.1_275"	"Q6P3R8"
"LOC134713181"	0	"sp|Q8AVG9|GATA_XENLA"	"lcl|NC_086373.1_cds_XP_063430992.1_276"	"Q8AVG9"
"LOC134713230"	2.81e-50	"sp|P51957|NEK4_HUMAN"	"lcl|NC_086373.1_cds_XP_063430996.1_278"	"P51957"
"LOC134713272"	0	"sp|P16621|LAR_DROME"	"lcl|NC_086373.1_cds_XP_063430999.1_281"	"P16621"
"LOC134713298"	7.16e-67	"sp|Q9V0D5|MDH_PYRAB"	"lcl|NC_086373.1_cds_XP_063431001.1_285"	"Q9V0D5"
"LOC134713324"	1.97e-35	"sp|Q6AZJ9|RS21_XENLA"	"lcl|NC_086373.1_cds_XP_063431003.1_289"	"Q6AZJ9"
"LOC134713350"	6.35e-71	"sp|Q9S7I8|CDC22_ARATH"	"lcl|NC_086373.1_cds_XP_063431005.1_291"	"Q9S7I8"
"LOC134699112"	1.83e-55	"sp|Q5U309|GT253_RAT"	"lcl|NC_086373.1_cds_XP_063416874.1_299"	"Q5U309"
"LOC134706483"	1.97e-49	"sp|Q9VML9|TRISR_DROME"	"lcl|NC_086373.1_cds_XP_063421532.1_300"	"Q9VML9"
"LOC134713409"	6.3e-105	"sp|A0JNC4|ELOV7_BOVIN"	"lcl|NC_086373.1_cds_XP_063431011.1_302"	"A0JNC4"
"LOC134713491"	1.94e-105	"sp|P13994|YJU2B_HUMAN"	"lcl|NC_086373.1_cds_XP_063431017.1_306"	"P13994"
"LOC134713455"	0	"sp|A8BQB4|GDE_HORSE"	"lcl|NC_086373.1_cds_XP_063431014.1_307"	"A8BQB4"
"LOC134713524"	0	"sp|Q68DH5|LMBD2_HUMAN"	"lcl|NC_086373.1_cds_XP_063431019.1_311"	"Q68DH5"
"LOC134713545"	2.14e-35	"sp|O75575|RPC9_HUMAN"	"lcl|NC_086373.1_cds_XP_063431020.1_312"	"O75575"
"LOC134713593"	3.24e-56	"sp|Q9D6Z0|ALKB7_MOUSE"	"lcl|NC_086373.1_cds_XP_063431023.1_314"	"Q9D6Z0"
"LOC134713577"	0	"sp|Q9D180|CFA57_MOUSE"	"lcl|NC_086373.1_cds_XP_063431022.1_315"	"Q9D180"
"LOC134713609"	5.76e-130	"sp|Q3ZCD7|TECR_BOVIN"	"lcl|NC_086373.1_cds_XP_063431024.1_316"	"Q3ZCD7"
"LOC134706492"	3.02e-22	"sp|Q66IC8|DYLT5_DANRE"	"lcl|NC_086373.1_cds_XP_063421546.1_317"	"Q66IC8"
"LOC134713625"	3.11e-29	"sp|Q66IC8|DYLT5_DANRE"	"lcl|NC_086373.1_cds_XP_063431025.1_318"	"Q66IC8"
"LOC134713661"	7.95e-49	"sp|Q13351|KLF1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431028.1_321"	"Q13351"
"LOC134713714"	0	"sp|P17126|ACT_HYDVU"	"lcl|NC_086373.1_cds_XP_063431077.1_327"	"P17126"
"LOC134713755"	0	"sp|Q964E0|ACTC_BIOTE"	"lcl|NC_086373.1_cds_XP_063431116.1_328"	"Q964E0"
"LOC134713745"	0	"sp|P10984|ACT2_CAEEL"	"lcl|NC_086373.1_cds_XP_063431105.1_331"	"P10984"
"LOC134706497"	2.42e-22	"sp|Q60GI5|GA45A_FELCA"	"lcl|NC_086373.1_cds_XP_063421560.1_332"	"Q60GI5"
"LOC134713789"	4.13e-21	"sp|Q5E9A5|GA45B_BOVIN"	"lcl|NC_086373.1_cds_XP_063431141.1_334"	"Q5E9A5"
"LOC134713818"	9.47e-79	"sp|P54315|LIPR1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431169.1_337"	"P54315"
"LOC134713873"	3.19e-116	"sp|Q3T178|VPS28_BOVIN"	"lcl|NC_086373.1_cds_XP_063431232.1_345"	"Q3T178"
"LOC134713885"	1.69e-46	"sp|Q9W2Q5|CIB2_DROME"	"lcl|NC_086373.1_cds_XP_063431242.1_346"	"Q9W2Q5"
"LOC134713897"	8.77e-52	"sp|Q5M7F8|CM2CA_XENLA"	"lcl|NC_086373.1_cds_XP_063431249.1_347"	"Q5M7F8"
"LOC134713907"	1.44e-83	"sp|Q5ZL21|MMAC_CHICK"	"lcl|NC_086373.1_cds_XP_063431260.1_348"	"Q5ZL21"
"LOC134713915"	9.05e-48	"sp|Q7ZYB4|PAIP1_XENLA"	"lcl|NC_086373.1_cds_XP_063431274.1_349"	"Q7ZYB4"
"LOC134713934"	2.05e-128	"sp|Q8UVY2|BRX1_XENLA"	"lcl|NC_086373.1_cds_XP_063431284.1_351"	"Q8UVY2"
"LOC134713947"	0	"sp|Q6DIC0|SMCA2_MOUSE"	"lcl|NC_086373.1_cds_XP_063431287.1_352"	"Q6DIC0"
"LOC134713966"	2.83e-39	"sp|Q6DF94|SPICE_XENLA"	"lcl|NC_086373.1_cds_XP_063431303.1_354"	"Q6DF94"
"LOC134713976"	0	"sp|Q6DC04|CARM1_DANRE"	"lcl|NC_086373.1_cds_XP_063431311.1_355"	"Q6DC04"
"LOC134713976"	0	"sp|Q9WVG6|CARM1_MOUSE"	"lcl|NC_086373.1_cds_XP_063431318.1_356"	"Q9WVG6"
"LOC134713997"	6.05e-83	"sp|Q7TQK4|EXOS3_MOUSE"	"lcl|NC_086373.1_cds_XP_063431326.1_357"	"Q7TQK4"
"LOC134714008"	3.15e-64	"sp|Q8T3X9|ISCA1_DROME"	"lcl|NC_086373.1_cds_XP_063431336.1_358"	"Q8T3X9"
"LOC134714053"	2.3e-137	"sp|P53349|M3K1_MOUSE"	"lcl|NC_086373.1_cds_XP_063431379.1_363"	"P53349"
"LOC134714110"	1.13e-131	"sp|Q0V8M0|KRI1_BOVIN"	"lcl|NC_086373.1_cds_XP_063431429.1_371"	"Q0V8M0"
"LOC134714120"	1.06e-39	"sp|A9ULC7|OSTA_XENTR"	"lcl|NC_086373.1_cds_XP_063431440.1_373"	"A9ULC7"
"LOC134714149"	1.49e-23	"sp|Q66I08|OSTA_DANRE"	"lcl|NC_086373.1_cds_XP_063431463.1_375"	"Q66I08"
"LOC134706507"	3.31e-46	"sp|Q8TCT0|CERK1_HUMAN"	"lcl|NC_086373.1_cds_XP_063421587.1_378"	"Q8TCT0"
"LOC134714174"	6.49e-53	"sp|Q8TCT0|CERK1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431486.1_381"	"Q8TCT0"
"LOC134714184"	3.54e-52	"sp|Q8TCT0|CERK1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431495.1_382"	"Q8TCT0"
"LOC134714192"	3.22e-51	"sp|Q8TCT0|CERK1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431508.1_383"	"Q8TCT0"
"LOC134714203"	4.5e-47	"sp|Q8TCT0|CERK1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431517.1_384"	"Q8TCT0"
"LOC134706520"	1.96e-25	"sp|G4MWA7|OXR2B_PYRO7"	"lcl|NC_086373.1_cds_XP_063421607.1_385"	"G4MWA7"
"LOC134706531"	1.96e-133	"sp|Q7SIG4|DFPA_LOLVU"	"lcl|NC_086373.1_cds_XP_063421626.1_387"	"Q7SIG4"
"LOC134714213"	7.57e-60	"sp|Q5F413|SMAP2_CHICK"	"lcl|NC_086373.1_cds_XP_063431526.1_388"	"Q5F413"
"LOC134714261"	9.11e-27	"sp|Q9NV56|MRGBP_HUMAN"	"lcl|NC_086373.1_cds_XP_063431572.1_395"	"Q9NV56"
"LOC134714272"	1.52e-180	"sp|Q9NXZ2|DDX43_HUMAN"	"lcl|NC_086373.1_cds_XP_063431582.1_396"	"Q9NXZ2"
"LOC134714337"	9.87e-99	"sp|Q8N6T3|ARFG1_HUMAN"	"lcl|NC_086373.1_cds_XP_063431657.1_407"	"Q8N6T3"
"LOC134714353"	0	"sp|Q5ZIT8|TAF2_CHICK"	"lcl|NC_086373.1_cds_XP_063431670.1_409"	"Q5ZIT8"
"LOC134714372"	6.88e-78	"sp|A4FV45|TM214_BOVIN"	"lcl|NC_086373.1_cds_XP_063431687.1_412"	"A4FV45"
"LOC134714383"	1.89e-116	"sp|Q9Z254|GIPC1_RAT"	"lcl|NC_086373.1_cds_XP_063431697.1_413"	"Q9Z254"
"LOC134714403"	0	"sp|Q7SYV0|SYFAB_XENLA"	"lcl|NC_086373.1_cds_XP_063431716.1_414"	"Q7SYV0"
"LOC134714403"	0	"sp|Q6AZG6|SYFAA_XENLA"	"lcl|NC_086373.1_cds_XP_063431722.1_415"	"Q6AZG6"
"LOC134714392"	0	"sp|Q1JPX3|SYFA_DANRE"	"lcl|NC_086373.1_cds_XP_063431707.1_416"	"Q1JPX3"
"LOC134714416"	0	"sp|Q92947|GCDH_HUMAN"	"lcl|NC_086373.1_cds_XP_063431729.1_417"	"Q92947"
"LOC134714461"	3.86e-142	"sp|A7S1L6|FUCT1_NEMVE"	"lcl|NC_086373.1_cds_XP_063431803.1_428"	"A7S1L6"
"LOC134714467"	3.64e-91	"sp|Q6IV78|TAZ_SAISC"	"lcl|NC_086373.1_cds_XP_063431825.1_429"	"Q6IV78"
"LOC134714467"	1.85e-90	"sp|Q6IV77|TAZ_MACMU"	"lcl|NC_086373.1_cds_XP_063431816.1_430"	"Q6IV77"
"LOC134714479"	3.92e-29	"sp|Q5R4J5|SYT1_PONAB"	"lcl|NC_086373.1_cds_XP_063431838.1_432"	"Q5R4J5"
"LOC134714515"	7.27e-76	"sp|P23824|GATA2_CHICK"	"lcl|NC_086373.1_cds_XP_063431884.1_436"	"P23824"
"LOC134714530"	1.16e-52	"sp|Q9Y3I1|FBX7_HUMAN"	"lcl|NC_086373.1_cds_XP_063431915.1_439"	"Q9Y3I1"
"LOC134714555"	1.28e-32	"sp|Q3KRG3|TSR2_DANRE"	"lcl|NC_086373.1_cds_XP_063431975.1_441"	"Q3KRG3"
"LOC134714539"	8.83e-53	"sp|Q70JS2|KELC_ANOST"	"lcl|NC_086373.1_cds_XP_063431938.1_442"	"Q70JS2"
"LOC134714548"	3.42e-74	"sp|Q8N5X7|IF4E3_HUMAN"	"lcl|NC_086373.1_cds_XP_063431962.1_444"	"Q8N5X7"
"LOC134699264"	3.76e-44	"sp|Q96DM1|PGBD4_HUMAN"	"lcl|NC_086373.1_cds_XP_063416945.1_451"	"Q96DM1"
"LOC134714563"	9.9e-86	"sp|Q6GNV7|DIRC2_XENLA"	"lcl|NC_086373.1_cds_XP_063431986.1_452"	"Q6GNV7"
"LOC134714581"	2.42e-143	"sp|P41564|IDH3G_MACFA"	"lcl|NC_086373.1_cds_XP_063432024.1_453"	"P41564"
"LOC134714571"	2.02e-92	"sp|A5YM72|CRNS1_HUMAN"	"lcl|NC_086373.1_cds_XP_063432000.1_458"	"A5YM72"
"LOC134714608"	2.47e-52	"sp|Q8WZA1|PMGT1_HUMAN"	"lcl|NC_086373.1_cds_XP_063432084.1_459"	"Q8WZA1"
"LOC134714675"	9.25e-78	"sp|Q96I25|SPF45_HUMAN"	"lcl|NC_086373.1_cds_XP_063432269.1_471"	"Q96I25"
"LOC134714706"	6.62e-58	"sp|Q4JL91|IPPK_DANRE"	"lcl|NC_086373.1_cds_XP_063432282.1_479"	"Q4JL91"
"LOC134714716"	8.07e-43	"sp|P62325|BTG1_MOUSE"	"lcl|NC_086373.1_cds_XP_063432290.1_481"	"P62325"
"LOC134714750"	0	"sp|Q52I78|NAMPT_PIG"	"lcl|NC_086373.1_cds_XP_063432341.1_483"	"Q52I78"
"LOC134699287"	2.06e-21	"sp|P48039|MTR1A_HUMAN"	"lcl|NC_086373.1_cds_XP_063416962.1_485"	"P48039"
"LOC134714761"	8.5e-32	"sp|Q15582|BGH3_HUMAN"	"lcl|NC_086373.1_cds_XP_063432362.1_486"	"Q15582"
"LOC134714770"	5.51e-24	"sp|P51049|MR1BB_DANRE"	"lcl|NC_086373.1_cds_XP_063432375.1_487"	"P51049"
"LOC134714772"	2.39e-25	"sp|P48039|MTR1A_HUMAN"	"lcl|NC_086373.1_cds_XP_063432392.1_488"	"P48039"
"LOC134714777"	5.02e-153	"sp|Q52I78|NAMPT_PIG"	"lcl|NC_086373.1_cds_XP_063432404.1_489"	"Q52I78"
"LOC134714794"	4.91e-46	"sp|P51957|NEK4_HUMAN"	"lcl|NC_086373.1_cds_XP_063432439.1_492"	"P51957"
"LOC134714801"	1.58e-37	"sp|Q9W534|MOODY_DROME"	"lcl|NC_086373.1_cds_XP_063432453.1_494"	"Q9W534"
"LOC134714823"	3.2e-61	"sp|Q9QYE0|PLAG1_MOUSE"	"lcl|NC_086373.1_cds_XP_063432507.1_501"	"Q9QYE0"
"LOC134680591"	1.13e-38	"sp|P21328|RTJK_DROME"	"lcl|NC_086373.1_cds_XP_063420261.1_506"	"P21328"
"LOC134714836"	2.8e-125	"sp|Q7ZV22|MTAP_DANRE"	"lcl|NC_086373.1_cds_XP_063432537.1_507"	"Q7ZV22"
"LOC134714843"	5.51e-109	"sp|Q9Y2I1|NISCH_HUMAN"	"lcl|NC_086373.1_cds_XP_063432557.1_508"	"Q9Y2I1"
"LOC134714860"	3.47e-29	"sp|Q1RDC8|GHRA_ECOUT"	"lcl|NC_086373.1_cds_XP_063432579.1_511"	"Q1RDC8"
"LOC134714867"	3.81e-29	"sp|Q1RDC8|GHRA_ECOUT"	"lcl|NC_086373.1_cds_XP_063432590.1_512"	"Q1RDC8"
"LOC134714886"	0	"sp|P50395|GDIB_HUMAN"	"lcl|NC_086373.1_cds_XP_063432638.1_513"	"P50395"
"LOC134714878"	9.37e-146	"sp|Q5XPI4|RN123_HUMAN"	"lcl|NC_086373.1_cds_XP_063432603.1_514"	"Q5XPI4"
"LOC134714878"	8.3e-145	"sp|D3ZXK7|RN123_RAT"	"lcl|NC_086373.1_cds_XP_063432622.1_516"	"D3ZXK7"
"LOC134714958"	2.47e-100	"sp|Q5M819|SERB_RAT"	"lcl|NC_086373.1_cds_XP_063432774.1_524"	"Q5M819"
"LOC134714924"	0	"sp|A9CB42|RTCB_PAPAN"	"lcl|NC_086373.1_cds_XP_063432708.1_529"	"A9CB42"
