LOC_ID,protein_name,gene_set,n_samples,n_at_floor,frac_samples_at_floor,floor_flag
LOC134681433,VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1),DEG_union,46,0,0,ok
LOC134681478,"Probable splicing factor, arginine/serine-rich 7 (p54)",DEG_union,46,0,0,ok
LOC134682504,Collagen alpha-3(VI) chain,candidate,46,0,0,ok
LOC134682520,Tubulin beta-2 chain (Beta-tubulin class-II),DEG_union,46,0,0,ok
LOC134682905,Profilin,DEG_union,46,0,0,ok
LOC134682920,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),DEG_union,46,0,0,ok
LOC134682938,Dynein axonemal intermediate chain 7,DEG_union,46,0,0,ok
LOC134682955,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1),candidate,46,0,0,ok
LOC134683070,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (PP47),DEG_union,46,0,0,ok
LOC134683121,NA,DEG_union,46,0,0,ok
LOC134683122,TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6),DEG_union,46,0,0,ok
LOC134683182,Transcription factor Sox-6,DEG_union,46,0,0,ok
LOC134683247,NA,DEG_union,46,0,0,ok
LOC134683261,NA,DEG_union,46,0,0,ok
LOC134683378,NA,DEG_union,46,0,0,ok
LOC134683381,NA,DEG_union,46,0,0,ok
LOC134684205,NA,DEG_union,46,0,0,ok
LOC134684215,NA,DEG_union,46,0,0,ok
LOC134684257,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (FK506-binding protein 4) (FKBP-4) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]",candidate,46,0,0,ok
LOC134684267,Ankyrin repeat and SAM domain-containing protein 1A (Odin),DEG_union,46,0,0,ok
LOC134684285,SAM pointed domain-containing Ets transcription factor (Prostate epithelium-specific Ets transcription factor) (Prostate-specific Ets) (Prostate-derived Ets factor),DEG_union,46,0,0,ok
LOC134684350,NA,DEG_union,46,0,0,ok
LOC134684371,NA,DEG_union,46,0,0,ok
LOC134684642,NA,DEG_union,46,0,0,ok
LOC134684993,"Actin, clone 403 (EC 3.6.4.-)",DEG_union,46,0,0,ok
LOC134685003,"Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (Regulated in COPD, protein kinase) (SPS1/STE20-related protein kinase YSK4)",DEG_union,46,0,0,ok
LOC134685014,ETS homologous factor (ETS domain-containing transcription factor),DEG_union,46,0,0,ok
LOC134685076,Calcium/manganese antiporter SLC30A10 (Solute carrier family 30 member 10),DEG_union,46,0,0,ok
LOC134685124,Nucleosome assembly protein 1-like 1,DEG_union,46,0,0,ok
LOC134685125,ATP-dependent RNA helicase dhx29 (EC 3.6.4.13) (DEAH box protein 29),DEG_union,46,0,0,ok
LOC134685157,Transcription initiation factor TFIID subunit 8 (TBP-associated factor 8),DEG_union,46,0,0,ok
LOC134685196,NA,DEG_union,46,0,0,ok
LOC134685249,Probable nuclear hormone receptor HR3 (dHR3) (Nuclear receptor subfamily 1 group F member 4),DEG_union,46,0,0,ok
LOC134685251,NA,DEG_union,46,0,0,ok
LOC134685282,Receptor-type tyrosine-protein phosphatase R (R-PTP-R) (EC 3.1.3.48) (Ch-1PTPase) (NC-PTPCOM1) (Protein-tyrosine phosphatase PCPTP1),DEG_union,46,0,0,ok
LOC134685357,Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7),DEG_union,46,0,0,ok
LOC134685381,RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2),DEG_union,46,0,0,ok
LOC134685401,Kinesin-like protein KIF17 (MmKIF17),DEG_union,46,0,0,ok
LOC134685466,NA,DEG_union,46,0,0,ok
LOC134685499,NA,DEG_union,46,0,0,ok
LOC134685540,Transcription factor ETV6,DEG_union,46,0,0,ok
LOC134685570,Hillarin (D-Hillarin) (D-hil),DEG_union,46,0,0,ok
LOC134685587,NA,DEG_union,46,0,0,ok
LOC134685599,Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14),DEG_union,46,0,0,ok
LOC134685624,NA,DEG_union,46,0,0,ok
LOC134685650,R-spondin-2 (Roof plate-specific spondin-2),DEG_union,46,0,0,ok
LOC134685658,Large ribosomal subunit protein eL32 (60S ribosomal protein L32),DEG_union,46,0,0,ok
LOC134685661,Ras-related protein Rab-10 (ORA1),DEG_union,46,0,0,ok
LOC134685664,DNA-directed RNA polymerase I subunit RPA43 (DNA-directed RNA polymerase I subunit F) (Twist neighbor protein),DEG_union,46,0,0,ok
