LOC_ID,metric,scale,tier,n,slope,se,p_lm,baseline_slope,rho_partial,q_lm,q_family,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,frac_at_floor,floor_flag,byssal_structural
LOC134728119,max_force,log,primary,45,-0.333820879328403,0.16439210401326013,0.04914957188240709,0.334594976423095,-0.18436115251175897,0.9165850144883341,0.9293782520000196,Collagen alpha-1(XXII) chain,35.678,1.43e-29,genome_blast,TRUE,TRUE,candidate,0.304,caution,FALSE
LOC134681328,max_force,log,primary,45,-0.41631758388761525,0.2107978012340079,0.05538174610001136,0.3270744993201695,-0.3387263433527476,0.9165850144883341,0.9293782520000196,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9),44.848,3.7899999999999995e-48,genome_blast,FALSE,TRUE,candidate,0.217,caution,FALSE
LOC134692391,max_force,log,primary,45,-0.5607246471364746,0.29535327281003254,0.06504938635387054,0.27302934653106714,-0.17685009509334215,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),30.388,3.01e-84,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134706926,max_force,log,primary,45,-0.357544564319249,0.19701374981246894,0.07724826853183739,0.27599927552799913,-0.24833837628022257,0.9165850144883341,0.9293782520000196,"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)",63.534,3.8099999999999993e-118,genome_blast,FALSE,TRUE,candidate,0.261,caution,FALSE
LOC134686763,max_force,log,primary,45,0.3998667322477688,0.2205061851691282,0.07747047380312296,0.32107620960484606,0.3898199080482234,0.9165850144883341,0.9293782520000196,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37),57.925,6.77e-125,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134687339,max_force,log,primary,45,0.20696950315323043,0.11465718079547006,0.07878128825009578,0.37411178112273186,0.20272741478071943,0.9165850144883341,0.9293782520000196,"Glutathione S-transferase 3, mitochondrial (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",43.796,1.14e-39,genome_blast,FALSE,TRUE,candidate,0.326,caution,FALSE
LOC134711985,max_force,log,primary,45,0.6658712202203292,0.36969859570004987,0.07942009780299553,0.25844343225636096,0.2862085766280236,0.9165850144883341,0.9293782520000196,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),52.72,3.4999999999999996e-88,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134710209,max_force,log,primary,45,0.4826688129406841,0.2680803829435739,0.07952538641860174,0.34131512462196956,0.21223973084593362,0.9165850144883341,0.9293782520000196,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),37.755,0,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
LOC134706848,max_force,log,primary,45,-0.586004826666105,0.32583907495194103,0.07984936924938216,0.3133278868787091,-0.21698845048872437,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),29.375,2.28e-84,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
LOC134714846,max_force,log,primary,45,-0.6258920116242136,0.3640410681024237,0.09349042957885058,0.19713943632728662,-0.17439957848076687,0.9165850144883341,0.9293782520000196,Ceramide transfer protein (CERT) (Collagen type IV alpha-3-binding protein),50.825,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134688272,max_force,log,primary,45,-1.0538059058735065,0.6185759423729873,0.09641304680812016,0.3696052931504812,-0.2543585171639646,0.9165850144883341,0.9293782520000196,Novel acetylcholine receptor chaperone (Transmembrane protein 35A),42.063,6.640000000000001e-26,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134716333,max_force,log,primary,45,-0.44561219046079253,0.26325549443177765,0.09848810221872242,0.2881846052955222,-0.2852163348886897,0.9165850144883341,0.9293782520000196,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)",52.598,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134721918,max_force,log,primary,45,-0.4368124529676628,0.26131655268857135,0.10261268013995353,0.34161939601101055,-0.13652698613878106,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.228,2.63e-102,genome_blast,FALSE,TRUE,candidate,0.087,ok,FALSE
LOC134701697,max_force,log,primary,45,0.3861670140704946,0.23338143059156086,0.10602057423887899,0.24544345066621467,0.23167570248030978,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.23,6.08e-104,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134697661,max_force,log,primary,45,0.3932259881884886,0.2414738800382404,0.11148413465839975,0.2291108403544452,0.25803578360095447,0.9165850144883341,0.9293782520000196,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",64.23,0,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
LOC134715354,max_force,log,primary,45,-0.284218796973048,0.17461813981451416,0.1116505749044016,0.23933849334343407,-0.25537779036761893,0.9165850144883341,0.9293782520000196,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),39.336,4.17e-44,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134721923,max_force,log,primary,45,0.4143647238749092,0.2603935905728027,0.11961606158124738,0.3931561506839752,0.10105288928200969,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),32.227,4.4299999999999994e-95,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
LOC134707678,max_force,log,primary,45,-0.10699519817414917,0.06771663825480827,0.12217446693099002,0.2801656224403587,-0.25816731721385144,0.9165850144883341,0.9293782520000196,Byssal peroxidase-like protein 1,34.068,1.23e-87,genome_blast,FALSE,TRUE,candidate,0.109,ok,FALSE
LOC134714403,max_force,log,primary,45,0.1149322934536006,0.07361851560967289,0.12655858368478737,0.267688454981031,0.15804422203614166,0.9165850144883341,0.9293782520000196,Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS),63.618,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134725830,max_force,log,primary,45,-0.43908635971874704,0.2837398042261459,0.1298208821787694,0.2877484637686724,-0.33305099730221,0.9165850144883341,0.9293782520000196,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),63.053,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134725558,max_force,log,primary,45,0.4031687073846304,0.2640310711700646,0.13483759580580354,0.30561786076150627,0.14824613624034685,0.9165850144883341,0.9293782520000196,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),36.145,3.11e-54,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134696037,max_force,log,primary,45,-0.2991702595187144,0.19639414686059872,0.13574818039990183,0.28362794947990716,-0.13531994527011293,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A,33.764,1.87e-83,genome_blast,FALSE,TRUE,candidate,0.348,caution,FALSE
LOC134718464,max_force,log,primary,45,0.3714782767024515,0.24422595389237703,0.13631612270063018,0.26778797784639446,0.2821657876331089,0.9165850144883341,0.9293782520000196,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein),63.014,1.44e-58,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134721033,max_force,log,primary,45,-0.5777585869161386,0.38479798328324577,0.14129058882208256,0.26745462449224855,-0.23014682603290595,0.9165850144883341,0.9293782520000196,Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35),34.834,4.8000000000000006e-80,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134697127,max_force,log,primary,45,0.5486911757574792,0.37317012773911856,0.1494890462058238,0.3032087808398784,0.28117007974090336,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.807,1.6799999999999998e-109,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134707235,max_force,log,primary,45,-0.28733576434805214,0.19553409636505997,0.1497207872284303,0.28042027293426225,-0.35937380241031625,0.9165850144883341,0.9293782520000196,Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS),49.847,0,genome_blast,FALSE,TRUE,candidate,0.326,caution,FALSE
LOC134706747,max_force,log,primary,45,0.2970174890686352,0.20375722557949674,0.1529285054083395,0.2869656603692653,0.12673354029957745,0.9165850144883341,0.9293782520000196,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),63.306,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134711163,max_force,log,primary,45,-0.8177265849793169,0.5648988615385534,0.15573078052783174,0.18753858061962098,-0.17054217716184672,0.9165850144883341,0.9293782520000196,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),31.496,5.17e-50,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134706727,max_force,log,primary,45,0.503102767258998,0.35469839754661164,0.1640171824549428,0.2636606317812643,0.16155184773222575,0.9165850144883341,0.9293782520000196,Glutathione S-transferase (PfGST) (EC 2.5.1.18),32.227,1.79e-21,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134718612,max_force,log,primary,45,-0.2360666731809579,0.17342729314389957,0.18126863157117432,0.326898696283673,-0.1767191306850556,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),32.227,2.65e-91,genome_blast,FALSE,TRUE,candidate,0.217,caution,FALSE
LOC134682488,max_force,log,primary,45,-0.13901544007766684,0.10230106596181963,0.18199030941253921,0.2901743068492999,-0.29491830890231174,0.9165850144883341,0.9293782520000196,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain),30.756,7.309999999999999e-60,genome_blast,TRUE,TRUE,candidate,0.065,ok,FALSE
LOC134725629,max_force,log,primary,45,0.38793265864018095,0.2857873769758214,0.18245230077906294,0.20625692550123856,0.10095196735133108,0.9165850144883341,0.9293782520000196,Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase),52.453,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134689775,max_force,log,primary,45,0.5388122183599335,0.4016934446306416,0.18756561119903822,0.25518430694153843,0.09386843537002246,0.9165850144883341,0.9293782520000196,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase),41.655,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134725173,max_force,log,primary,45,0.31608573455987615,0.23862328212878736,0.19300636770952134,0.34174119595582875,0.20217862875175907,0.9165850144883341,0.9293782520000196,Glutathione hydrolase-like YwrD proenzyme (EC 2.3.2.2) (Putative gamma-glutamyltransferase YwrD) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase-like YwrD large chain; Glutathione hydrolase-like YwrD small chain],35.478,2.4799999999999998e-89,genome_blast,FALSE,TRUE,candidate,0.087,ok,FALSE
LOC134725758,max_force,log,primary,45,-0.34757653757000023,0.2642453883377016,0.19607166019428227,0.22108800034737758,-0.18066211967824874,0.9165850144883341,0.9293782520000196,Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1),76.44,9.8e-112,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134707744,max_force,log,primary,45,0.14391538517288777,0.10998794190451401,0.1983745864714526,0.34851177777558273,0.2318852312138575,0.9165850144883341,0.9293782520000196,Byssal peroxidase-like protein 1,35.231,1.4599999999999999e-98,genome_blast,FALSE,TRUE,candidate,0.196,ok,FALSE
LOC134715482,max_force,log,primary,45,-0.5161488600335132,0.40591346595750083,0.21105572186971763,0.2376059157604988,-0.16602563720072805,0.9165850144883341,0.9293782520000196,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA),68.493,3.86e-27,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134711376,max_force,log,primary,45,-0.2447948658190892,0.19340104322757254,0.21311662530304115,0.293879136951631,-0.1180762003109401,0.9165850144883341,0.9293782520000196,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha),37.415,4.789999999999999e-110,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134687564,max_force,log,primary,45,0.27444163746432687,0.21908750557125864,0.21778971369029804,0.2293895315722984,0.24159765708248415,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein (HSP70),67.647,5.7e-60,genome_blast,FALSE,TRUE,candidate,0.13,ok,FALSE
LOC134695612,max_force,log,primary,45,0.4649860512497757,0.3722702585680047,0.21909020963694648,0.29669284805444307,0.11421339850141216,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.968,2.7099999999999996e-118,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134707640,max_force,log,primary,45,-0.14070527162870006,0.11275062935784194,0.2194963145016413,0.2715512587513682,-0.07758776850779908,0.9165850144883341,0.9293782520000196,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx),69.683,8.46e-108,genome_blast,FALSE,TRUE,candidate,0.109,ok,FALSE
LOC134682928,max_force,log,primary,45,0.19203728963130182,0.15407337643354324,0.22005181440242771,0.2573215422980538,0.12810851674118282,0.9165850144883341,0.9293782520000196,"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)",60.054,0,genome_blast,FALSE,TRUE,candidate,0.152,ok,FALSE
LOC134686344,max_force,log,primary,45,0.3047303273140124,0.2463009679447383,0.2234005744025865,0.24939866369177488,0.1494164064959096,0.9165850144883341,0.9293782520000196,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),62.767,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134712267,max_force,log,primary,45,-0.48656757164060194,0.4009153090452531,0.23218351532312392,0.2276962359650051,-0.3388204249493433,0.9165850144883341,0.9293782520000196,"Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase 2) (Mitochondrial methionyl-tRNA synthetase) (MtMetRS)",49.171,4.449999999999999e-174,genome_blast,FALSE,TRUE,candidate,0.043,ok,FALSE
LOC134687162,max_force,log,primary,45,0.22062868604259925,0.1818186160327138,0.2322541208884706,0.29114586337113646,0.20358061633326582,0.9165850144883341,0.9293782520000196,Glutathione S-transferase A4 (EC 2.5.1.18) (GST A4-4) (GSTA4-4) (GST class-alpha member 4) (Glutathione S-transferase 5.7) (GST 5.7),42.081,7.579999999999999e-46,genome_blast,FALSE,TRUE,candidate,0.109,ok,FALSE
LOC134719074,max_force,log,primary,45,0.16971380803784708,0.13989330080534532,0.2323632427488746,0.31115541285400017,0.2907559058296495,0.9165850144883341,0.9293782520000196,Collagen alpha-4(VI) chain,41.148,3.21e-29,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134696625,max_force,log,primary,45,-0.3090219146373514,0.2620480500068769,0.24544017442994026,0.2204222512599183,-0.20026908170169666,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A,33.874,2.95e-94,genome_blast,FALSE,TRUE,candidate,0.152,ok,FALSE
LOC134691221,max_force,log,primary,45,-0.3373365899393954,0.28837702624423067,0.24919044132452006,0.20596892559064556,-0.08999373522853965,0.9165850144883341,0.9293782520000196,Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta),46.445,4.44e-65,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134707468,max_force,log,primary,45,0.13582594886405658,0.11627273015864734,0.2498311875103691,0.21793378983619244,0.2211123759334736,0.9165850144883341,0.9293782520000196,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),30.466,9.35e-29,genome_blast,TRUE,TRUE,candidate,0.304,caution,FALSE
LOC134696249,max_force,log,primary,45,0.13340017666191784,0.11578241377671149,0.25626809936828654,0.3217888987062745,0.12193187768901614,0.9165850144883341,0.9293782520000196,Alcohol dehydrogenase class-3 chain H (EC 1.1.1.1) (Alcohol dehydrogenase class-III chain H) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),58.378,5.299999999999999e-160,genome_blast,FALSE,TRUE,candidate,0.152,ok,FALSE
LOC134720677,max_force,log,primary,45,-0.17440442762927544,0.15406793027697288,0.2645480459082648,0.2365316629225017,-0.1398453271287285,0.9165850144883341,0.9293782520000196,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R),43.033,2.84e-63,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134685659,max_force,log,primary,45,0.2250856433283762,0.1990019717949256,0.26493219362184284,0.24487309892815085,0.04311765773593348,0.9165850144883341,0.9293782520000196,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",62.5,0,genome_blast,TRUE,TRUE,candidate,0.043,ok,FALSE
LOC134694794,max_force,log,primary,45,0.13069241155280142,0.11626875500010816,0.2678612408442043,0.2981130409199872,0.1829103646839371,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A,31.122,3.33e-71,genome_blast,FALSE,TRUE,candidate,0.13,ok,FALSE
LOC134712109,max_force,log,primary,45,-0.29524495716036,0.2649898051318713,0.27202372236706496,0.2735637116915109,-0.1716388739664496,0.9165850144883341,0.9293782520000196,Glutathione peroxidase 2 (GPx-2) (GSHPx-2) (EC 1.11.1.9) (Glutathione peroxidase-gastrointestinal) (GPx-GI) (GSHPx-GI) (Phospholipid hydroperoxide glutathione peroxidase GPX2) (EC 1.11.1.12),58.152,2.78e-79,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134695774,max_force,log,primary,45,0.2903063396220415,0.263756692560549,0.2777920945679999,0.3077922113531628,0.17789695905159858,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A,31.936,2.66e-79,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134724488,max_force,log,primary,45,0.12660952810932727,0.11623738077116072,0.2827363675561522,0.22536799177260272,0.00748974429977874,0.9165850144883341,0.9293782520000196,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),49.194,0,genome_blast,FALSE,TRUE,candidate,0.196,ok,FALSE
LOC134690636,max_force,log,primary,45,-0.15187035442878666,0.1400039414241073,0.2846892772616368,0.26963619400375477,-0.10656104979543984,0.9165850144883341,0.9293782520000196,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),37.156,1.0099999999999999e-38,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134686970,max_force,log,primary,45,0.42237962065434875,0.39267992277859987,0.28870072978651534,0.2752285688570734,0.17859807425749175,0.9165850144883341,0.9293782520000196,Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4),32.367,2.66e-57,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134712598,max_force,log,primary,45,0.29870563072366957,0.27878140736575435,0.29054465484266545,0.31026803533279895,0.1938401208896191,0.9165850144883341,0.9293782520000196,Glutathione-specific gamma-glutamylcyclotransferase 2 (Gamma-GCG 2) (EC 4.3.2.7) (Cation transport regulator-like protein 2),62.147,4.5800000000000004e-79,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134718500,max_force,log,primary,45,-0.45145227799524484,0.4214534615558458,0.29067317062882875,0.2683990096230067,-0.1052336672831463,0.9165850144883341,0.9293782520000196,"RalA-binding protein 1 (RalBP1) (Cytocentrin) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)",50.853,8.94e-81,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134724473,max_force,log,primary,45,0.29134901653938644,0.2725116998642691,0.29158624017473617,0.2116161308530203,0.16176337805596894,0.9165850144883341,0.9293782520000196,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),53.269,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134680827,max_force,log,primary,45,-0.08463079143964783,0.0794505103095284,0.29333536245267355,0.2641055528294646,-0.26021333207731373,0.9165850144883341,0.9293782520000196,Mussel byssus cycteine-rich protein,80,3.8e-61,genome_blast,FALSE,TRUE,candidate,0.37,caution,FALSE
LOC134699824,max_force,log,primary,45,-0.21595381887246687,0.2028345785215455,0.29356856072666115,0.2845882749939073,-0.07294688238471929,0.9165850144883341,0.9293782520000196,"Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1) (Protein dumpy-18)",31.76,5.1e-69,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
LOC134725805,max_force,log,primary,45,-0.23764765220500117,0.22863420726879255,0.3050094812081297,0.18278263640434325,-0.19647476786485085,0.9165850144883341,0.9293782520000196,Heat shock 70 kDa protein 12A,32.388,1.7699999999999997e-96,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134685100,max_force,log,primary,45,0.2294865584166134,0.2226501695231929,0.3090292696396696,0.2741095972630619,0.07970227979001208,0.9165850144883341,0.9293782520000196,Hsp70-binding protein 1 (HspBP1) (Heat shock protein-binding protein 1) (Hsp70-interacting protein 1),38.585,2.949999999999999e-55,genome_blast,FALSE,TRUE,candidate,0.152,ok,FALSE
