module,n_genes,pc1_var,metric,tier,n,slope_wls,p_wls,slope_mixed,p_mixed,q_wls,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
byssal_structural,16,0.63,max_force,primary,45,0.003368610824765791,0.2559993785845843,0.0033180327741508006,0.26266819468201746,0.5119987571691687,0.5253363893640349,0.7955204479552045,0.9991000899910009,0.9931006899310069
oxidative_detox,49,0.12,dlog_pad_area,primary,44,-0.020510574909407865,0.25972356031473826,NA,NA,0.553432227326148,NA,0.6214378562143785,0.9991000899910009,0.9939006099390061
tRNA_translation,29,0.35,dlog_pad_area,primary,44,-0.016687374979251903,0.276716113663074,NA,NA,0.553432227326148,NA,0.655034496550345,0.9995000499950005,0.996000399960004
HIF_hypoxia,13,0.25,dlog_max_force,primary,44,0.05262564742248262,0.2981991360905865,NA,NA,0.4472987041358798,NA,0.8796120387961204,0.9996000399960004,0.9969003099690031
byssal_structural,16,0.63,dlog_adhesion_kpa,exploratory,44,0.02406431157575675,0.3412272237528863,NA,NA,0.7402412242169158,NA,0.8838116188381162,0.9998000199980002,NA
oxidative_detox,49,0.12,max_force,primary,45,0.003756771784098344,0.35563446505987695,0.003717448757961713,0.3597574726082663,0.5334516975898154,0.5396362089123994,0.8965103489651035,0.9999000099990001,0.9992000799920008
byssal_collagen,60,0.24,dlog_pad_area,primary,44,0.010210294850596643,0.37195969136654805,NA,NA,0.5579395370498221,NA,0.8074192580741926,0.9999000099990001,0.9994000599940006
HIF_hypoxia,13,0.25,max_displacement,exploratory,45,0.0030229607897876826,0.40964009954667424,0.003083454666005815,0.39982138681606016,0.8760369721574987,0.8594179946396604,0.9423057694230577,0.9999000099990001,NA
HIF_hypoxia,13,0.25,adhesion_kpa,exploratory,45,-2.3034103660266583,0.44931371216194327,-2.3480064943058467,0.4402030055827465,0.5843265182600317,0.5878299357772934,0.9467053294670533,1,NA
HSP_proteostasis,92,0.15,adhesion_kpa,exploratory,45,0.9801942187785734,0.45571730042849923,0.9662172824006001,0.46172553422967455,0.5843265182600317,0.5878299357772934,0.9498050194980502,1,NA
byssal_collagen,60,0.24,dlog_adhesion_kpa,exploratory,44,0.01491841917460367,0.48680158531200235,NA,NA,0.7402412242169158,NA,0.9648035196480352,1,NA
HSP_proteostasis,92,0.15,max_force,primary,45,0.0016438738167789666,0.5656336196974796,0.0016029443815539905,0.5747419959379816,0.6787603436369755,0.6896903951255778,0.989001099890011,1,1
byssal_structural,16,0.63,adhesion_kpa,exploratory,45,0.7747264143011555,0.5723736523320264,0.7555937096145403,0.581718912109094,0.5843265182600317,0.5878299357772934,0.9851014898510149,1,NA
byssal_collagen,60,0.24,adhesion_kpa,exploratory,45,0.6346192200786316,0.5843265182600317,0.62775154194793,0.5878299357772934,0.5843265182600317,0.5878299357772934,0.9867013298670133,1,NA
byssal_collagen,60,0.24,max_displacement,exploratory,45,7.375049211702478e-4,0.5978257524400046,7.47511697257447e-4,0.5922049552803484,0.8760369721574987,0.8594179946396604,0.9922007799220078,1,NA
byssal_structural,16,0.63,dlog_pad_area,primary,44,0.007133426609176605,0.5988822124581312,NA,NA,0.621804491084547,NA,0.9778022197780222,1,1
HSP_proteostasis,92,0.15,dlog_adhesion_kpa,exploratory,44,0.01221750574055318,0.6073904231649565,NA,NA,0.7402412242169158,NA,0.9898010198980102,1,NA
oxidative_detox,49,0.12,dlog_adhesion_kpa,exploratory,44,0.017157609177184317,0.6168676868474299,NA,NA,0.7402412242169158,NA,0.9909009099090091,1,NA
HSP_proteostasis,92,0.15,dlog_pad_area,primary,44,-0.0062665677582051426,0.621804491084547,NA,NA,0.621804491084547,NA,0.983001699830017,1,1
HSP_proteostasis,92,0.15,max_displacement,exploratory,45,7.663008260241467e-4,0.6291371235443524,7.884355701716078e-4,0.6188189153230075,0.8760369721574987,0.8594179946396604,0.9946005399460054,1,NA
HSP_proteostasis,92,0.15,pad_area,primary,45,-0.016481581269295976,0.6446571005841516,-0.016710072083810836,0.6399968937723134,0.7559237723079726,0.760375371340867,0.9932006799320068,1,1
byssal_collagen,60,0.24,pad_area,primary,45,0.012891126849597635,0.6824059250124734,0.012802581861975613,0.6842366748422192,0.7559237723079726,0.760375371340867,0.9964003599640036,1,1
HSP_proteostasis,92,0.15,dlog_max_force,primary,44,0.007639257577583764,0.7142071493412523,NA,NA,0.8570485792095027,NA,0.999000099990001,1,1
byssal_structural,16,0.63,max_displacement,exploratory,45,5.713581112535805e-4,0.7300308101312489,6.014982574299157e-4,0.716181662199717,0.8760369721574987,0.8594179946396604,0.9992000799920008,1,NA
byssal_structural,16,0.63,pad_area,primary,45,0.012402575092909927,0.7394175205840281,0.012157232827800391,0.7444736052257418,0.7559237723079726,0.760375371340867,0.9986001399860014,1,1
HIF_hypoxia,13,0.25,pad_area,primary,45,0.025758257907010383,0.7559237723079726,0.025273679466118273,0.760375371340867,0.7559237723079726,0.760375371340867,0.999000099990001,1,1
HIF_hypoxia,13,0.25,max_force,primary,45,-0.0016621938706512835,0.8023771028212028,-0.0017785600855279315,0.7885730525148952,0.8023771028212028,0.7885730525148952,0.9997000299970003,1,1
HIF_hypoxia,13,0.25,dlog_adhesion_kpa,exploratory,44,-0.014103447757326394,0.808194997420913,NA,NA,0.808194997420913,NA,0.9999000099990001,1,NA
tRNA_translation,29,0.35,max_displacement,exploratory,45,-1.6779544451085316e-4,0.931346045282216,-1.789166311715446e-4,0.926673515832928,0.931346045282216,0.926673515832928,1,1,NA
oxidative_detox,49,0.12,dlog_max_force,primary,44,-0.001622001381202914,0.9570378497056933,NA,NA,0.9570378497056933,NA,1,1,1
