gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,LOC_ID,transcript,database,uniprot_accession,geneID,species,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,reviewed,entryname,protein_name,gene_name,organism,prot_length,GO_ID,GO_BP,GO_MF,GO_CC,Genename_orderedlocus,Induction,Pathwaycommons,Reactome,Unipathway,Interacts_with
gene-LOC134725389|LOC134725389,96.109838174685,0.391751069204231,0.107980599059511,2.02989598877772e-5,0.00265632189091452,LOC134725389,lcl|NC_086379.1_cds_XP_063445244.1_29415,sp,P97379,G3BP2,MOUSE,48.513,437,183,10,1,1272,1,408,8.78e-96,301,reviewed,G3BP2_MOUSE,Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2),G3bp2,Mus musculus (Mouse),482,GO:0003729; GO:0005829; GO:0007264; GO:0010494; GO:0034063; GO:0045087; GO:0051028; GO:0051260; GO:0062029; GO:0140693; GO:1990904,innate immune response [GO:0045087]; mRNA transport [GO:0051028]; positive regulation of stress granule assembly [GO:0062029]; protein homooligomerization [GO:0051260]; small GTPase-mediated signal transduction [GO:0007264]; stress granule assembly [GO:0034063],molecular condensate scaffold activity [GO:0140693]; mRNA binding [GO:0003729],cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904],,,,,,
gene-LOC134706996|LOC134706996,26.6005825752035,-0.382114633829635,0.158107245072846,9.11304665519723e-4,0.038596165628748,LOC134706996,lcl|NC_086374.1_cds_XP_063422487.1_7546,sp,Q9DAK9,PHP14,MOUSE,47.5,120,59,2,145,492,5,124,6.47e-31,111,reviewed,PHP14_MOUSE,14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP),Phpt1 Php14,Mus musculus (Mouse),124,GO:0005829; GO:0005886; GO:0016604; GO:0019855; GO:0030036; GO:0044325; GO:0050860; GO:0051015; GO:0061851; GO:0097581; GO:0101006; GO:2000147,actin cytoskeleton organization [GO:0030036]; lamellipodium organization [GO:0097581]; negative regulation of T cell receptor signaling pathway [GO:0050860]; positive regulation of cell motility [GO:2000147],actin filament binding [GO:0051015]; calcium channel inhibitor activity [GO:0019855]; protein histidine phosphatase activity [GO:0101006]; transmembrane transporter binding [GO:0044325],cytosol [GO:0005829]; leading edge of lamellipodium [GO:0061851]; nuclear body [GO:0016604]; plasma membrane [GO:0005886],,,,,,
gene-LOC134715039|LOC134715039,42.052627285153,0.437059260191398,0.199673871577301,0.00131014587639861,0.0489844826815779,LOC134715039,lcl|NC_086376.1_cds_XP_063432967.1_17560,sp,A8E4X8,JMY,XENTR,29.084,557,339,12,46,1575,7,554,3.53e-51,196,reviewed,JMY_XENTR,Junction-mediating and -regulatory protein,jmy,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),843,GO:0000421; GO:0003779; GO:0005634; GO:0005856; GO:0006281; GO:0008017; GO:0009267; GO:0012505; GO:0031252; GO:0031410; GO:0034314; GO:0070060; GO:0070358,'de novo' actin filament nucleation [GO:0070060]; actin polymerization-dependent cell motility [GO:0070358]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cellular response to starvation [GO:0009267]; DNA repair [GO:0006281],actin binding [GO:0003779]; microtubule binding [GO:0008017],autophagosome membrane [GO:0000421]; cell leading edge [GO:0031252]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; endomembrane system [GO:0012505]; nucleus [GO:0005634],,,,R-XTR-6804760;,,
gene-LOC134711966|LOC134711966,33.97595754329,-0.848222914750564,0.181609022573857,1.46043841501138e-7,5.62096973495263e-5,LOC134711966,lcl|NC_086375.1_cds_XP_063429098.1_14031,sp,Q9QW07,PLCB4,RAT,60.384,1199,435,14,1,3549,1,1175,0,1402,reviewed,PLCB4_RAT,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-4) (Phospholipase C-beta-4) (PLC-beta-4)",Plcb4,Rattus norvegicus (Rat),1175,GO:0004435; GO:0005509; GO:0005634; GO:0005790; GO:0005886; GO:0007602; GO:0014069; GO:0016042; GO:0030425; GO:0043267; GO:0046488; GO:0048015; GO:0050804; GO:0051019; GO:0051209; GO:0098688; GO:0098794; GO:0098978; GO:0160135,lipid catabolic process [GO:0016042]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of potassium ion transport [GO:0043267]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylinositol-mediated signaling [GO:0048015]; phospholipase C-activating endothelin receptor signaling pathway [GO:0160135]; phototransduction [GO:0007602]; release of sequestered calcium ion into cytosol [GO:0051209],calcium ion binding [GO:0005509]; mitogen-activated protein kinase binding [GO:0051019]; phosphatidylinositol phospholipase C activity [GO:0004435],dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; parallel fiber to Purkinje cell synapse [GO:0098688]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; smooth endoplasmic reticulum [GO:0005790],,,,R-RNO-112043;R-RNO-1855204;R-RNO-416476;,,
gene-LOC134715973|LOC134715973,23.630417011789,2.1724212207804,0.563050806928113,4.26795071191669e-6,7.75700041890858e-4,LOC134715973,lcl|NC_086376.1_cds_XP_063434658.1_19597,sp,Q9WVR6,LAT2,RAT,36.952,479,297,3,172,1596,17,494,2.82e-98,310,reviewed,LAT2_RAT,Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (Solute carrier family 7 member 8),Slc7a8 Lat2 Lat4,Rattus norvegicus (Rat),533,GO:0003333; GO:0005886; GO:0006865; GO:0009925; GO:0015101; GO:0015171; GO:0015175; GO:0015179; GO:0015180; GO:0015187; GO:0015190; GO:0015297; GO:0015349; GO:0015804; GO:0015807; GO:0015816; GO:0015820; GO:0015827; GO:0015829; GO:0016323; GO:0016324; GO:0019534; GO:0031528; GO:0035524; GO:0042605; GO:0046982; GO:0070327; GO:0089718; GO:1903801; GO:1904273,amino acid import across plasma membrane [GO:0089718]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; glycine transport [GO:0015816]; L-alanine import across plasma membrane [GO:1904273]; L-amino acid transport [GO:0015807]; L-leucine import across plasma membrane [GO:1903801]; L-leucine transport [GO:0015820]; neutral amino acid transport [GO:0015804]; proline transmembrane transport [GO:0035524]; thyroid hormone transport [GO:0070327]; tryptophan transport [GO:0015827]; valine transport [GO:0015829],amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-leucine transmembrane transporter activity [GO:0015190]; neutral L-amino acid transmembrane transporter activity [GO:0015175]; organic cation transmembrane transporter activity [GO:0015101]; peptide antigen binding [GO:0042605]; protein heterodimerization activity [GO:0046982]; thyroid hormone transmembrane transporter activity [GO:0015349]; toxin transmembrane transporter activity [GO:0019534],apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886],,,,R-RNO-210991;R-RNO-352230;,,
gene-LOC134725101|LOC134725101,171.143127269113,-0.471131624735688,0.172873011629723,3.19857723376083e-4,0.0193780470745344,LOC134725101,lcl|NC_086379.1_cds_XP_063444712.1_28720,sp,Q5NVN8,RFOX1,PONAB,62.857,140,44,3,508,924,72,204,6.94e-45,164,reviewed,RFOX1_PONAB,RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A),RBFOX1 A2BP1 FOX1,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),382,GO:0000381; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0007399; GO:0008380,"mRNA processing [GO:0006397]; nervous system development [GO:0007399]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]",mRNA binding [GO:0003729],cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
gene-LOC134725101|LOC134725101,171.143127269113,-0.471131624735688,0.172873011629723,3.19857723376083e-4,0.0193780470745344,LOC134725101,lcl|NC_086379.1_cds_XP_063444705.1_28722,sp,Q9JJ43,RFOX1,MOUSE,48.98,196,91,4,433,993,8,203,2.39e-44,163,reviewed,RFOX1_MOUSE,RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A),Rbfox1 A2bp A2bp1 Fox1 MNCb-3035,Mus musculus (Mouse),396,GO:0000381; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005737; GO:0006397; GO:0007399; GO:0008380; GO:0050885; GO:2001014,"mRNA processing [GO:0006397]; nervous system development [GO:0007399]; neuromuscular process controlling balance [GO:0050885]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of skeletal muscle cell differentiation [GO:2001014]; RNA splicing [GO:0008380]",mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723],cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],,,,,,
gene-LOC134725101|LOC134725101,171.143127269113,-0.471131624735688,0.172873011629723,3.19857723376083e-4,0.0193780470745344,LOC134725101,lcl|NC_086379.1_cds_XP_063444707.1_28724,sp,Q95KI0,RFOX1,MACFA,64.228,123,43,1,580,945,84,206,1.15e-44,163,reviewed,RFOX1_MACFA,RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A),RBFOX1 A2BP1 FOX1 QtrA-11594,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),376,GO:0000381; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0007399; GO:0008380,"mRNA processing [GO:0006397]; nervous system development [GO:0007399]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]",mRNA binding [GO:0003729],cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
gene-LOC134693464|LOC134693464,22.6088171680603,-0.837605729483301,0.318043378634692,3.00701048668833e-4,0.0185611977494356,LOC134693464,lcl|NC_086384.1_cds_XP_063410366.1_44033,sp,P31029,AGT1,CALJA,55.172,377,169,0,118,1248,32,408,1.21e-157,454,reviewed,AGT1_CALJA,"Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase, mitochondrial) (SPT) (EC 2.6.1.51)",AGXT AGT1,Callithrix jacchus (White-tufted-ear marmoset),414,GO:0004760; GO:0005759; GO:0005777; GO:0008453; GO:0019265; GO:0042803; GO:0046487,"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]; glyoxylate metabolic process [GO:0046487]",alanine-glyoxylate transaminase activity [GO:0008453]; protein homodimerization activity [GO:0042803]; serine-pyruvate transaminase activity [GO:0004760],mitochondrial matrix [GO:0005759]; peroxisome [GO:0005777],,,,,,
gene-LOC134714744|LOC134714744,153.692877154672,-0.324400162821223,0.0817417303703099,6.56356815656252e-6,0.00107363566120971,LOC134714744,lcl|NC_086376.1_cds_XP_063432332.1_16821,sp,O93309,SMC3,XENLA,62.531,1217,436,6,1,3615,1,1209,0,1480,reviewed,SMC3_XENLA,Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3),smc3 smc3l1,Xenopus laevis (African clawed frog),1209,GO:0000775; GO:0000785; GO:0003690; GO:0005524; GO:0005634; GO:0006275; GO:0006281; GO:0007064; GO:0016887; GO:0030893; GO:0051301; GO:0051321; GO:0061775,cell division [GO:0051301]; DNA repair [GO:0006281]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid cohesion [GO:0007064]; regulation of DNA replication [GO:0006275],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cohesin loader activity [GO:0061775]; double-stranded DNA binding [GO:0003690],"chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; meiotic cohesin complex [GO:0030893]; nucleus [GO:0005634]",,,,,,Q4QXM3; Q9DGN1; Q9DGN0
gene-LOC134688350|LOC134688350,1318.23812954011,0.332075745869645,0.106208294341007,1.42319409085639e-4,0.0112957083667879,LOC134688350,lcl|NC_086382.1_cds_XP_063405070.1_39949,sp,Q7TMK9,HNRPQ,MOUSE,58.333,408,165,4,7,1218,5,411,3.71e-170,501,reviewed,HNRPQ_MOUSE,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein) (pp68)",Syncrip Hnrpq Nsap1 Nsap1l,Mus musculus (Mouse),623,GO:0003730; GO:0005634; GO:0005654; GO:0005681; GO:0005737; GO:0005783; GO:0005829; GO:0006397; GO:0008143; GO:0008380; GO:0016556; GO:0043025; GO:0045293; GO:0045727; GO:0048027; GO:0070934; GO:0070937; GO:0071204; GO:0090367; GO:0106002; GO:1900152; GO:1901537; GO:1990635; GO:1990904; GO:2000623; GO:2000767,"CRD-mediated mRNA stabilization [GO:0070934]; mRNA modification [GO:0016556]; mRNA processing [GO:0006397]; negative regulation of mRNA modification [GO:0090367]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of DNA demethylation [GO:1901537]; positive regulation of translation [GO:0045727]; RNA splicing [GO:0008380]",mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; poly(A) binding [GO:0008143],CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; histone pre-mRNA 3'end processing complex [GO:0071204]; mCRD-mediated mRNA stability complex [GO:0106002]; mRNA editing complex [GO:0045293]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proximal dendrite [GO:1990635]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681],,,,,,
