gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,LOC_ID,transcript,database,uniprot_accession,geneID,species,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,reviewed,entryname,protein_name,gene_name,organism,prot_length,GO_ID,GO_BP,GO_MF,GO_CC,Genename_orderedlocus,Induction,Pathwaycommons,Reactome,Unipathway,Interacts_with
gene-LOC134685124|LOC134685124,222.07385622097,0.245892126611068,0.0900148240727413,9.47448802615934e-4,0.0309989779664054,LOC134685124,lcl|NC_086381.1_cds_XP_063400651.1_34300,sp,Q7ZY81,NPL1B,XENLA,60.597,335,108,3,97,1098,33,344,2.4e-112,338,reviewed,NPL1B_XENLA,Nucleosome assembly protein 1-like 1-B (xNAP1L-B) (Nucleosome assembly protein 1) (NAP1) (xNAP-1),nap1l1-b nap1-b,Xenopus laevis (African clawed frog),393,GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0007283; GO:0030332; GO:0042393; GO:0042802; GO:0045944; GO:0060215,nucleosome assembly [GO:0006334]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primitive hemopoiesis [GO:0060215]; spermatogenesis [GO:0007283],chromatin binding [GO:0003682]; cyclin binding [GO:0030332]; histone binding [GO:0042393]; identical protein binding [GO:0042802],chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
gene-LOC134685124|LOC134685124,222.07385622097,0.245892126611068,0.0900148240727413,9.47448802615934e-4,0.0309989779664054,LOC134685124,lcl|NC_086381.1_cds_XP_063400658.1_34301,sp,P28656,NP1L1,MOUSE,61.656,326,107,4,106,1080,35,343,1.53e-118,353,reviewed,NP1L1_MOUSE,Nucleosome assembly protein 1-like 1 (Brain protein DN38) (NAP-1-related protein),Nap1l1 Nrp,Mus musculus (Mouse),391,GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0007399; GO:0019900; GO:0042393; GO:0042470; GO:0050769; GO:0140713; GO:2000179,nervous system development [GO:0007399]; nucleosome assembly [GO:0006334]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neurogenesis [GO:0050769],chromatin binding [GO:0003682]; histone binding [GO:0042393]; histone chaperone activity [GO:0140713]; kinase binding [GO:0019900],chromatin [GO:0000785]; cytoplasm [GO:0005737]; melanosome [GO:0042470]; nucleus [GO:0005634],,,,,,Q9WVS7
gene-LOC134685124|LOC134685124,222.07385622097,0.245892126611068,0.0900148240727413,9.47448802615934e-4,0.0309989779664054,LOC134685124,lcl|NC_086381.1_cds_XP_063400653.1_34306,sp,Q78ZA7,NP1L4,MOUSE,60.058,343,112,3,115,1140,27,345,5.43e-117,349,reviewed,NP1L4_MOUSE,Nucleosome assembly protein 1-like 4,Nap1l4,Mus musculus (Mouse),375,GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0030425; GO:0031491; GO:0042393; GO:0043025,nucleosome assembly [GO:0006334],chromatin binding [GO:0003682]; histone binding [GO:0042393]; nucleosome binding [GO:0031491],chromatin [GO:0000785]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nucleus [GO:0005634],,,,,,
gene-LOC134695436|LOC134695436,143.266891527111,-0.322533213187446,0.130042709098711,0.00114033825974069,0.0347564695440355,LOC134695436,lcl|NC_086385.1_cds_XP_063412757.1_46519,sp,O42130,TOP2A,CHICK,69.106,1230,366,6,145,3816,28,1249,0,1693,reviewed,TOP2A_CHICK,"DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)",TOP2A,Gallus gallus (Chicken),1553,GO:0000287; GO:0000712; GO:0000792; GO:0000793; GO:0000819; GO:0003677; GO:0003918; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0006260; GO:0006265; GO:0006266; GO:0006974; GO:0007059; GO:0008094; GO:0008301; GO:0009330; GO:0030263; GO:0030332; GO:0043065; GO:0048511; GO:0051301; GO:1905463; GO:1990904,apoptotic chromosome condensation [GO:0030263]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA damage response [GO:0006974]; DNA ligation [GO:0006266]; DNA replication [GO:0006260]; DNA topological change [GO:0006265]; negative regulation of DNA duplex unwinding [GO:1905463]; positive regulation of apoptotic process [GO:0043065]; resolution of meiotic recombination intermediates [GO:0000712]; rhythmic process [GO:0048511]; sister chromatid segregation [GO:0000819],"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; cyclin binding [GO:0030332]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; magnesium ion binding [GO:0000287]","chromosome [GO:0005694]; condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; heterochromatin [GO:0000792]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]",,,,,,
gene-LOC134687586|LOC134687586,125.116889556837,0.914345220439983,0.279334861302244,4.65835033652801e-5,0.00405499882473256,LOC134687586,lcl|NC_086382.1_cds_XP_063404066.1_39410,sp,Q9XS79,HEM1,DELLE,50.391,639,243,10,10,1761,7,626,0,572,reviewed,HEM1_DELLE,"5-aminolevulinate synthase, non-specific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)",ALAS1 ALS1,Delphinapterus leucas (Beluga whale),640,GO:0003870; GO:0005743; GO:0005759; GO:0006782; GO:0030170; GO:0042541; GO:0048821; GO:1903412,erythrocyte development [GO:0048821]; hemoglobin biosynthetic process [GO:0042541]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to bile acid [GO:1903412],5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170],mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759],,,,,UPA00251;,
gene-LOC134715973|LOC134715973,20.6388709123453,1.94485970077307,0.536874317461867,1.23516060708123e-5,0.00167814363158697,LOC134715973,lcl|NC_086376.1_cds_XP_063434658.1_19597,sp,Q9WVR6,LAT2,RAT,36.952,479,297,3,172,1596,17,494,2.82e-98,310,reviewed,LAT2_RAT,Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (Solute carrier family 7 member 8),Slc7a8 Lat2 Lat4,Rattus norvegicus (Rat),533,GO:0003333; GO:0005886; GO:0006865; GO:0009925; GO:0015101; GO:0015171; GO:0015175; GO:0015179; GO:0015180; GO:0015187; GO:0015190; GO:0015297; GO:0015349; GO:0015804; GO:0015807; GO:0015816; GO:0015820; GO:0015827; GO:0015829; GO:0016323; GO:0016324; GO:0019534; GO:0031528; GO:0035524; GO:0042605; GO:0046982; GO:0070327; GO:0089718; GO:1903801; GO:1904273,amino acid import across plasma membrane [GO:0089718]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; glycine transport [GO:0015816]; L-alanine import across plasma membrane [GO:1904273]; L-amino acid transport [GO:0015807]; L-leucine import across plasma membrane [GO:1903801]; L-leucine transport [GO:0015820]; neutral amino acid transport [GO:0015804]; proline transmembrane transport [GO:0035524]; thyroid hormone transport [GO:0070327]; tryptophan transport [GO:0015827]; valine transport [GO:0015829],amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-leucine transmembrane transporter activity [GO:0015190]; neutral L-amino acid transmembrane transporter activity [GO:0015175]; organic cation transmembrane transporter activity [GO:0015101]; peptide antigen binding [GO:0042605]; protein heterodimerization activity [GO:0046982]; thyroid hormone transmembrane transporter activity [GO:0015349]; toxin transmembrane transporter activity [GO:0019534],apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886],,,,R-RNO-210991;R-RNO-352230;,,
gene-LOC134693464|LOC134693464,23.8842350879894,-0.805716039999317,0.327168228553316,4.75480337966983e-4,0.019428235194271,LOC134693464,lcl|NC_086384.1_cds_XP_063410366.1_44033,sp,P31029,AGT1,CALJA,55.172,377,169,0,118,1248,32,408,1.21e-157,454,reviewed,AGT1_CALJA,"Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase, mitochondrial) (SPT) (EC 2.6.1.51)",AGXT AGT1,Callithrix jacchus (White-tufted-ear marmoset),414,GO:0004760; GO:0005759; GO:0005777; GO:0008453; GO:0019265; GO:0042803; GO:0046487,"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]; glyoxylate metabolic process [GO:0046487]",alanine-glyoxylate transaminase activity [GO:0008453]; protein homodimerization activity [GO:0042803]; serine-pyruvate transaminase activity [GO:0004760],mitochondrial matrix [GO:0005759]; peroxisome [GO:0005777],,,,,,
gene-LOC134696497|LOC134696497,57.2475422410421,0.727937888642384,0.357893978044689,0.00139722499502935,0.0404690416911453,LOC134696497,lcl|NC_086386.1_cds_XP_063414400.1_49727,sp,Q9Y345,SC6A5,HUMAN,44.8,625,301,9,4,1836,183,777,0,553,reviewed,SC6A5_HUMAN,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),SLC6A5 GLYT2 NET1,Homo sapiens (Human),797,GO:0005768; GO:0005886; GO:0006836; GO:0007268; GO:0015375; GO:0016020; GO:0031045; GO:0035725; GO:0042734; GO:0046872; GO:0060012; GO:0098690; GO:1903804,"chemical synaptic transmission [GO:0007268]; glycine import across plasma membrane [GO:1903804]; neurotransmitter transport [GO:0006836]; sodium ion transmembrane transport [GO:0035725]; synaptic transmission, glycinergic [GO:0060012]",glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872],dense core granule [GO:0031045]; endosome [GO:0005768]; glycinergic synapse [GO:0098690]; membrane [GO:0016020]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734],,,Q9Y345;,R-HSA-442660;R-HSA-5619089;,,
gene-LOC134696497|LOC134696497,57.2475422410421,0.727937888642384,0.357893978044689,0.00139722499502935,0.0404690416911453,LOC134696497,lcl|NC_086386.1_cds_XP_063414398.1_49729,sp,P58295,SC6A5,RAT,44.497,636,309,9,4,1869,174,779,0,552,reviewed,SC6A5_RAT,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),Slc6a5 Glyt2,Rattus norvegicus (Rat),799,GO:0001504; GO:0005768; GO:0005886; GO:0015187; GO:0015375; GO:0015816; GO:0031045; GO:0035725; GO:0042734; GO:0046872; GO:0060012; GO:0098690; GO:0098793; GO:0098810; GO:1903804,"glycine import across plasma membrane [GO:1903804]; glycine transport [GO:0015816]; neurotransmitter reuptake [GO:0098810]; neurotransmitter uptake [GO:0001504]; sodium ion transmembrane transport [GO:0035725]; synaptic transmission, glycinergic [GO:0060012]",glycine transmembrane transporter activity [GO:0015187]; glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872],dense core granule [GO:0031045]; endosome [GO:0005768]; glycinergic synapse [GO:0098690]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734],,,,R-RNO-442660;,,
gene-LOC134697084|LOC134697084,236.116864656891,0.487009727269467,0.134005821644276,1.80622394566752e-5,0.00216099867887625,LOC134697084,lcl|NC_086373.1_cds_XP_063415189.1_5563,sp,P23787,TERA,XENLA,88.729,763,85,1,4,2292,5,766,0,1379,reviewed,TERA_XENLA,Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (p97) (Valosin-containing protein) (VCP),vcp,Xenopus laevis (African clawed frog),805,GO:0000785; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006302; GO:0006914; GO:0006974; GO:0008289; GO:0010494; GO:0010498; GO:0016236; GO:0016567; GO:0016887; GO:0019985; GO:0030970; GO:0031593; GO:0032510; GO:0034098; GO:0034605; GO:0035617; GO:0035861; GO:0036297; GO:0036503; GO:0042802; GO:0043161; GO:0044877; GO:0051228; GO:0061857; GO:0097352; GO:1903843; GO:1905634,"autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to arsenite ion [GO:1903843]; cellular response to heat [GO:0034605]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ERAD pathway [GO:0036503]; interstrand cross-link repair [GO:0036297]; macroautophagy [GO:0016236]; mitotic spindle disassembly [GO:0051228]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of protein localization to chromatin [GO:1905634]; retrograde protein transport, ER to cytosol [GO:0030970]; stress granule disassembly [GO:0035617]; translesion synthesis [GO:0019985]",ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein-containing complex binding [GO:0044877],chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098],,,,,,
gene-LOC134692127|LOC134692127,510.708828175033,-0.372107703121339,0.16838669374148801,0.00172698074147656,0.045991620012213,LOC134692127,lcl|NC_086384.1_cds_XP_063408617.1_44718,sp,O46578,COX41,GORGO,34.783,138,88,2,157,567,2,138,7.36e-22,90.1,reviewed,COX41_GORGO,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)",COX4I1 COX4,Gorilla gorilla gorilla (Western lowland gorilla),144,GO:0005743; GO:0005751; GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]",,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex IV [GO:0005751],,,,,UPA00705;,
gene-LOC134716384|LOC134716384,53.7715104486065,-1.93319705706561,0.510124287969518,5.01755481958376e-6,8.37931654870489e-4,LOC134716384,lcl|NC_086376.1_cds_XP_063435428.1_20497,tr,A0A0K0YB03,A0A0K0YB03,MYTCO,76.695,236,50,2,1,693,1,236,3.19e-126,359,unreviewed,A0A0K0YB03_MYTCO,ACDC (Byssal EP-like protein 1) (EP-protein-1),MCOR_42823,Mytilus coruscus (Sea mussel),236,,,,,NA,NA,NA,NA,,NA
gene-LOC134720772|LOC134720772,668.091125943339,0.425615392472303,0.132521920924242,9.25706328730907e-5,0.00649594035901008,LOC134720772,lcl|NC_086378.1_cds_XP_063439326.1_23491,sp,O93477,SAHHB,XENLA,80.139,433,86,0,1,1299,1,433,0,733,reviewed,SAHHB_XENLA,Adenosylhomocysteinase B (AdoHcyase B) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase B),ahcy-b ahcy2 sahh,Xenopus laevis (African clawed frog),433,GO:0004013; GO:0005829; GO:0006730; GO:0033353; GO:0051287,one-carbon metabolic process [GO:0006730]; S-adenosylmethionine cycle [GO:0033353],adenosylhomocysteinase activity [GO:0004013]; NAD binding [GO:0051287],cytosol [GO:0005829],,,,,UPA00314;,
gene-LOC134691273|LOC134691273,212.228842225219,0.593860813500892,0.174490175688127,3.55456572147929e-5,0.00339207128849738,LOC134691273,lcl|NC_086383.1_cds_XP_063407771.1_42385,sp,P84770,IRS1B,XENLA,42.623,244,106,3,82,723,14,253,6.27e-46,185,reviewed,IRS1B_XENLA,Insulin receptor substrate 1-B (IRS1-B) (xIRS-1-B) (XIRS-L'),irs1-b,Xenopus laevis (African clawed frog),1088,GO:0005158; GO:0005159; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0008286; GO:0042169; GO:0043231; GO:0043548; GO:0048009,insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009],insulin receptor binding [GO:0005158]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]; SH2 domain binding [GO:0042169],cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; plasma membrane [GO:0005886],,,,,,
